Shelfmark	Content summary	Language(s)	Format	Support	Decoration	Date	Origin
Jesus College MS. 1	John Mirk, Manuale sacerdotis	Latin	codex	parchment		15th century, early	
Jesus College MS. 2	Geoffrey of Monmouth, De gestis Britonum	Latin	codex	paper		15th century	
Jesus College MS. 3	Gregory of Nazianzus, Orationes	Latin	codex	parchment		12th century	
Jesus College MS. 4	Anselm; Boethius; mathematical extracts	Latin	codex	parchment		12th century – 13th century	
Jesus College MS. 5	Prose Brut	English	codex	parchment		15th century	
Jesus College MS. 6	Sermons	Latin	codex	parchment		12th century	
Jesus College MS. 7	Doctrinal theology	Latin	codex	parchment		14th century, early	
Jesus College MS. 8	Sermons from Advent to the Sunday after Pentecost	Latin	codex	parchment		14th century	
Jesus College MS. 9	Biblical commentary; Richard of Thetford, on angels	Latin	codex	parchment		13th century, late	
Jesus College MS. 10	Gloucester calendar; antiphon	Latin	codex	parchment		13th century	
Jesus College MS. 11	Theological texts	Latin	codex	parchment		12th century	
Jesus College MS. 12	Jacobus de Cessolis, on chess; Giles of Rome, De regimine principum	Latin	codex	paper		15th century	
Jesus College MS. 13	Registrum Brevium	French; Latin	codex	parchment		14th century	
Jesus College MS. 14	Grammar [MISSING SINCE 1886]	English; Latin	codex	paper		15th century	
Jesus College MS. 15	Welsh-English grammar of Dafydd Ddu	English; Welsh	codex	paper		15th century	
Jesus College MS. 16	Welsh-English-Latin dictionary	English; Latin; Welsh	codex	paper		15th century	
Jesus College MS. 18	Mirrors for princes	Latin	codex	parchment		13th century, late	
Jesus College MS. 19	Canon law	Latin	codex	parchment		15th century	
Jesus College MS. 20	Book of Llewelyn	Welsh	codex	parchment		15th century	
Jesus College MS. 22	Medical texts	Welsh	codex	parchment		15th century	
Jesus College MS. 23	Theological texts	Welsh	codex	parchment		14th century	
Jesus College MS. 24	Koran (fragment)	Arabic	codex	parchment		16th century	
Jesus College MS. 25	Philosophical texts	Latin	codex	parchment; paper		14th century – 15th century	
Jesus College MS. 26	Ivo of Chartres, Panormia	Latin	codex	parchment		12th century, early	
Jesus College MS. 27	William of Pagula, Oculus sacerdotis	Latin	codex	parchment		15th century	
Jesus College MS. 29	Chronicle of the Kings of England | Middle English and French verse	Latin | English; French	codex | codex	paper | parchment		15th century | 14th century	
Jesus College MS. 32	Liturgical texts	Latin	codex	parchment	"Fine miniatures, borders (mutilated), historiated and other initials. By the same hand as Durham, Ushaw College MS. 10, from Bruges, 1408, and Bodl. MS. Laud Lat. 15." (Alexander & Temple)	14th century, late	Flemish
Jesus College MS. 34	Orosius	Latin	codex	parchment		13th century, early	
Jesus College MS. 35	Theological texts	Latin	codex	parchment		12th century	
Jesus College MS. 36	Theological texts	Latin	codex	paper		15th century	
Jesus College MS. 36*	Judgements in cases of appeal to the Pope's court	Latin	codex	paper		14th century	
Jesus College MS. 37	John the Deacon, Life of Gregory the Great	Latin	codex	parchment	"Good initials." (Alexander & Temple)	10th century, early	English
Jesus College MS. 38	Theological texts	Latin	codex	parchment	"Initial. Penwork initial." (Alexander & Temple)	13th century, early	French (?)
Jesus College MS. 39	Disce Mori	English	codex	parchment		15th century	
Jesus College MS. 40	Liturgical texts	Latin	codex	parchment	"Fine borders, historiated and other initials." (Alexander & Temple)	14th century, early	English
Jesus College MS. 41	Theological texts	Latin	codex	parchment		13th century	
Jesus College MS. 42	Theological texts	Latin	codex	parchment		13th century	
Jesus College MS. 43	Athanasius	Latin	codex	parchment	"Good arabesque initials." (Alexander & Temple)	11th century	English: Gloucester
Jesus College MS. 45a	Jacobus de Voragine, Sermons; John Felton, Sermons	Latin	codex	parchment; paper		15th century	
Jesus College MS. 45b	Accounts of Salisbury Cathedral	Latin	codex	parchment			
Jesus College MS. 46	Astronomical tables	Latin	codex	parchment		14th century	
Jesus College MS. 47	Miscellaneous texts including Augustine and Bede	Latin	codex	parchment		11th century	
Jesus College MS. 48	Theological texts	Latin	codex	parchment		12th century	
Jesus College MS. 49	Harmony of the Gospels	Latin	codex	parchment		12th century	
Jesus College MS. 50	Ivo of Chartres, Panormia	Latin	codex	parchment	"Good initials (unfinished)." (Alexander & Temple)	12th century	English: West Country (?)
Jesus College MS. 51	Bede, on the Tabernacle	Latin	codex	parchment		12th century, late	
