1. Shelfmark	2. Part	3. Author	4. Works	5. Language(s)	6. Format	7. Support	8. Binding	9. Decoration, Illustrations	10. Date	11. Not before (year)	12. Not after (year)	13.Origin 1	14.Origin 2	15. Provenance	16. Page number in Coxe	17. IMOCL	18. IMEP page number	19. Notes	20. Bibliography
University College MS. 4					codex	vellum	Contemporary white leather over wooden boards		s. XV	1400	1500	England		"Once belonged to a monk of Warden, Bedfordshire. Dialect Bedfordshire." (IMEP). Possibly the Cistercian Abbey at Old Warden/Wardon, Bedfordshire. (PTB)	1		p. 102		
		Willelmi Burgenoun de Tempsford	Fragmentum folio I & II	Latin ; Middle English															
			Dialogus de arte moriendi																
			An order for the visitation of the sick, with exhortations to the sick person	English (Bedfordshire dialect)															
			Conturbacio animæ in extremis																
			Exhortatio de modo vivendi concorditer in anima et corpore																
		Augustine, Saint, Bishop of Hippo	Speculum peccatoris																
			Sermons (fragments)																
University College MS. 5			Horæ B. Mariæ Virginis (Use of Dominicans at Tréguier)	Latin	codex	vellum	Limp vellum. 	"Fine miniatures (partly defaced), close in style to Bodl. MS. Laud Lat. 15. Good borders, initials. (cf. no. 805 [Jesus College 32])." (IMOCL) Illustration of the Nativity, p. 56. (PTB)	s. XIVin.	1300	1330			Formerly belonged to Robert Young. (Coxe)	2	Cat. No. 806.		“William Smith […] used galls to revive faded passages.  In no. 5 he tried an experiment.  He applied the galls to the two bottom lines of the text and wrote underneath; ‘Ultimae istae duae lineae (ceteris jam multo nigriores) gallis aqua macerates delinitae errant Aug 28 anno 1700.  Notent posteri quamdiu ista coloris differentia permanebit; et quid commodi vel damni inde sequetur’.  The two lines are still blacker than the rest, and the parchment is stained brown, but no worse effects have followed.  But Smith tried his galls on an erased inscription at the top of the page in vain, and so made impossible the use of other methods of recovering it.” (Hunt, p. 13)	
University College MS. 6					codex	vellum	18th-century calf. Rebound c. 1700, William Smith's instructions to the binder on p. 368.		s. XIII or XIV	1170	1350	France		Formerly belonged to the Dominicans of Beverley. (Coxe)	2				
		Augustine, Saint, Bishop of Hippo	Sermons	Latin															
