WORK ID	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4	SUBJECT 5	SUBJECT 6	SUBJECT 7	SUBJECT 8	SUBJECT 9
work_10915	#subject_history								
work_11052	#subject_history								
work_11053	#subject_law	#subject_geography	#subject_history						
work_11054	#subject_law	#subject_geography	#subject_history						
work_11055	#subject_history								
work_11327	#subject_history								
work_11730	#subject_law								
work_12403	#subject_theology								
work_13081	#subject_literature								
work_194	#subject_history								
work_13605	#subject_law								
work_13986	#subject_documents	#subject_history							
work_14045	#subject_philosophy	#subject_science							
work_14182	#subject_bible								
work_14183	#subject_law								
work_17150	#subject_hagiography								
work_14532	#subject_literature								
work_14821	#subject_bible								
work_14474	#subject_music	#subject_literature							
work_14528	#subject_music	#subject_literature							
work_14529	#subject_history								
work_15350	#subject_christian_literature	#subject_monasticism_and_religious_orders							
work_10433	#subject_hagiography								
work_11550	#subject_science								
work_13330	#subject_theology	#subject_christian_literature							
work_13827	#subject_theology	#subject_christian_literature							
work_14007	#subject_philosophy								
work_14407	#subject_christian_literature								
work_16199	#subject_christian_literature								
work_15383	#subject_christian_literature	#subject_literature							
work_10002	#subject_christian_literature								
work_10003	#subject_christian_literature	#subject_theology							
work_177844569	#subject_history								
work_210	#subject_hagiography								
work_10004	#subject_theology								
work_10005	#subject_grammar								
work_3490	#subject_theology								
work_213	#subject_science								
work_214	#subject_science								
work_215	#subject_science								
work_216	#subject_science								
work_211	#subject_science								
work_218	#subject_science								
work_212	#subject_philosophy	#subject_science							
work_10006	#subject_documents								
work_10007	#subject_literature								
work_17004	#subject_grammar								
work_10008	#subject_theology	#subject_christian_literature							
work_10009	#subject_documents								
work_10010	#subject_documents								
work_10011	#subject_documents								
work_10012	#subject_documents								
work_10013	#subject_documents								
work_10014	#subject_documents								
work_10015	#subject_documents								
work_10016	#subject_documents								
work_10017	#subject_documents								
work_10018	#subject_history								
work_10019	#subject_history								
work_10020	#subject_documents	#subject_monasticism_and_religious_orders							
work_10021	#subject_geography								
work_10022	#subject_documents								
work_10023	#subject_documents								
work_10024	#subject_documents								
work_10025	#subject_documents								
work_10026	#subject_documents								
work_10027	#subject_history								
work_10028	#subject_documents								
work_10033	#subject_documents								
work_10034	#subject_history								
work_10035	#subject_history								
work_10036	#subject_documents								
work_10038	#subject_history	#subject_monasticism_and_religious_orders							
work_10042	#subject_documents								
work_10043	#subject_history	#subject_monasticism_and_religious_orders	#subject_hagiography						
work_10044	#subject_documents								
work_10045	#subject_documents								
work_10046	#subject_documents								
work_10047	#subject_documents								
work_10048	#subject_documents								
work_10049	#subject_documents								
work_10050	#subject_documents								
work_10051	#subject_documents								
work_10052	#subject_geography								
work_10054	#subject_documents								
work_10056	#subject_documents								
work_10057	#subject_documents								
work_10029	#subject_history								
work_10030	#subject_history								
work_10031	#subject_history								
work_10032	#subject_history								
work_10037	#subject_history								
work_10039	#subject_history								
work_10040	#subject_history								
work_10041	#subject_history	#subject_monasticism_and_religious_orders							
work_10053	#subject_history								
work_10055	#subject_history								
work_10058	#subject_documents								
work_10059	#subject_documents								
work_10060	#subject_documents								
work_10061	#subject_documents								
work_10064	#subject_documents								
work_10062	#subject_documents								
work_10063	#subject_documents								
work_10065	#subject_documents								
work_10066	#subject_documents								
work_10067	#subject_documents								
work_10068	#subject_documents								
work_10069	#subject_documents								
work_10072	#subject_documents								
work_10073	#subject_documents								
work_10074	#subject_documents								
work_10075	#subject_documents								
work_10070	#subject_documents								
work_10071	#subject_documents								
work_10076	#subject_monasticism_and_religious_orders	#subject_documents							
work_10077	#subject_documents								
work_220	#subject_science								
work_221	#subject_sermons								
work_222	#subject_theology								
work_223	#subject_classical_literature								
work_10078	#subject_documents								
work_10079	#subject_documents								
work_10080	#subject_documents								
work_10081	#subject_documents								
work_10082	#subject_documents								
work_10083	#subject_documents								
work_10084	#subject_liturgy								
work_978	#subject_conduct								
work_979	#subject_philosophy								
work_3820	#subject_classical_literature								
work_10085	#subject_documents	#subject_law							
work_10086	#subject_documents	#subject_law							
work_10087	#subject_documents	#subject_law	#subject_hagiography						
work_10088	#subject_documents								
work_10089	#subject_documents	#subject_law	#subject_hagiography						
work_10090	#subject_law	#subject_monasticism_and_religious_orders							
work_15481	#subject_hagiography								
work_16099	#subject_bible								
work_2613	#subject_law								
work_10102	#subject_clergy	#subject_law							
work_10108	#subject_bible								
work_10110	#subject_hagiography								
work_10103	#subject_clergy								
work_10104	#subject_clergy								
work_10105	#subject_clergy	#subject_law							
work_10106	#subject_documents								
work_10107	#subject_clergy	#subject_law							
work_10109	#subject_law								
work_16288	#subject_hagiography								
work_224	#subject_theology								
work_225	#subject_rhetoric								
work_6368	#subject_conduct								
work_231	#subject_grammar								
work_238	#subject_history								
work_173	#subject_monasticism_and_religious_orders								
work_229	#subject_hagiography								
work_236	#subject_hagiography								
work_237	#subject_hagiography								
work_235	#subject_theology								
work_232	#subject_philosophy								
work_7207	#subject_philosophy								
work_7206	#subject_philosophy								
work_7214	#subject_philosophy								
work_233	#subject_philosophy								
work_7237	#subject_philosophy								
work_234	#subject_theology	#subject_bible							
work_239	#subject_grammar								
work_230	#subject_theology								
work_10113	#subject_documents								
work_240	#subject_philosophy								
work_5675	#subject_science								
work_241	#subject_christian_literature								
work_242	#subject_law								
work_17093	#subject_documents								
work_3414	#subject_law								
work_243	#subject_theology								
work_1748	#subject_medicine								
work_1751	#subject_medicine								
work_1759	#subject_theology								
work_249	#subject_sermons								
work_251	#subject_conduct								
work_6439	#subject_theology	#subject_conduct							
work_252	#subject_bible								
work_253	#subject_hagiography								
work_254	#subject_politics_and_government								
work_255	#subject_politics_and_government								
work_4141	#subject_christian_literature								
work_261	#subject_philosophy								
work_262	#subject_history								
