identifiers: ID,identifiers: URI (BnF),identifiers: URI (Germania Sacra),identifiers: URI (GND),identifiers: URI (ISNI),identifiers: URI (LC),identifiers: URI (SUDOC),identifiers: URI (VIAF),identifiers: URI (Wikidata),identifiers: other ref(s),identifiers: other URI(s),names: display,names: variant,names: crossref,affiliation: affiliation,location: geo,location: geo source,location: latitude,location: longitude,location: settlement,location: settlement ID,location: country,location: country ID,bibliography: bibl(s),bibliography: note(s)
org_8,,,,,,,,,,,"Holkham Hall (Norfolk), library",,,,,,,,Holkham,,England,place_7002445,,
org_9,,,,,,,,,,,"Santo Spirito (Reggio Emilia), Franciscan monastery",,,Franciscan,,,,,Santo Spirito,,Italy,place_1000080,,
org_11,,,,,,,,https://www.wikidata.org/entity/Q6661786,,,"Lanthony, Gloucs., Augustinian priory",Llanthony secunda,,Augustinian,,,,,Lanthony,,England,place_7002445,,
org_12,,,,,,,,,,,"Abbeyderg, Ireland, Augustinian priory",,,Augustinian,,,,,,,,,,
org_34,,,,,,,,,,,"Antwerp, Sodality of the Immaculate Conception",,,,,,,,,,,,,
org_36,,,,,,,,https://www.wikidata.org/entity/Q4738271,,,"Alvingham, Lincolnshire, Gilbertine priory",,,Gilbertine,,,,,,,England,place_7002445,,
org_37,,,,,,,,https://www.wikidata.org/entity/Q42327064,,,"Amesbury, abbey (later priory) of Benedictine nuns",,,Benedictine,,,,,,,England,place_7002445,,
org_38,,,,,,,,,,,"Bodmin, Augustinian priory of St. Petroc",,,Augustinian,,,,,,,England,place_7002445,,
org_39,,,,,,,,,,,"Cambridge, guild of All Saints",,,,,,,,,,England,place_7002445,,
org_40,,,,,,,,https://www.wikidata.org/entity/Q7963862,,,"Walsingham, Augustinian priory of St. Mary",,,Augustinian,,,,,,,England,place_7002445,,
org_41,,,,,,,,,,,"Navan (co. Meath), Augustinian abbey",,,Augustinian,,,,,,,,,,
org_42,,,,,,,,https://www.wikidata.org/entity/Q7194531,,,"Pilton (Devon), Benedictine priory",,,Benedictine,,,,,,,England,place_7002445,,
org_43,,,,,,,,,,https://www.wikidata.org/entity/Q4950215,"Bourne (Lincolnshire), Augustinian abbey of SS. Peter and Paul",,,Augustinian,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 138, 149",
org_44,,,,,,,,,,,"Ipswich (Suffolk), Cardinal College",,,,,,,,,,England,place_7002445,,
org_45,,,,,,,,,,,"Cirencester, chapel of St. Mary",,,,,,,,,,England,place_7002445,,
org_46,,,,,,,,,,,"South Elmham (Suffolk), parish church of St. Michael",,,,,,,,,,England,place_7002445,,
org_47,,,,,,,,,,,"Sutterton (Lincolnshire), church of St. Mary",,,,,,,,,,England,place_7002445,,
org_48,,,,,,,,https://www.wikidata.org/entity/Q5142077,,,"Colchester, Benedictine abbey of St John the Baptist",,,Benedictine,,,,,,,England,place_7002445,,
org_49,,,,,,,,,,,"Venice, [unspecified] doge(s)",,,,,,,,,,,,,
org_50,,,,,,,,https://www.wikidata.org/entity/Q7971018,,,"Warter (Yorkshire), Augustinian abbey and priory",,,Augustinian,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 144, 178",
org_51,,,,,,,,https://www.wikidata.org/entity/Q17534674,,,"Walden (Saffron Walden) (Essex), Benedictine priory and abbey of St. Mary and St. James",,,Benedictine,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 57, 79",
org_52,,,,,,,,,,,"Helmingham Hall (Suffolk), Tollemache family library",,,,,,,,,,England,place_7002445,,
org_53,,,,,,,,,,,"London, Confraternity of the Immaculate Conception",,,,,,,,,,England,place_7002445,,
org_54,,,,,,,,,,,"London, Augustinian friary",,,Augustinian friary,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 240, 242",
org_55,,,,,,,,,,,"Crediton (Devon), monastery and secular college of the Holy Cross",,,secular college,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 414, 424",
org_56,,,,,,,,,,,"Denchworth (Berkshire), parish church",,,,,,,,,,England,place_7002445,,
org_57,,,,,,,,,,,"Northampton, Dominican friary",,,Dominican,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 214, 218",
org_58,,,,,,,,https://www.wikidata.org/entity/Q5306073,,,"Drax (Yorkshire), Augustinian priory of St. Nicholas",,,Augustinian,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 140, 156",
org_59,,,,,,,,,,,"Spofforth (Yorkshire), parish church",,,,,,,,,,England,place_7002445,,
org_60,,,,,,,,,,,"Oxford, Franciscan friary",,,Franciscan,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 223, 227",
org_61,,,,,,,,,,,"Salisbury, Franciscan friary",,,Franciscan,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 223, 227",
org_62,,,,,,,,,,,"Croscombe (Somerset), fraternity of St. Anne",,,,,,,,,,England,place_7002445,,
org_63,,,,,,,,,,,"Ceneda (Italy, Veneto), Cistercian abbey of S. Maria de Placii",,,Cistercian,,,,,,,,,,
org_64,,,,,,,,,,,"Abergavenny, Franciscan friary",,,Franciscan,,,,,,,,,,
org_65,,,,,,,,https://www.wikidata.org/entity/Q5751057,,,"Hickling (Norfolk), Augustinian priory",,,Augustinian,,,,,,,England,place_7002445,,
org_66,,,,,,,,,,,"Kingston upon Hull, parish church of the Holy Trinity",,,,,,,,,,England,place_7002445,,
org_67,,,,,,,,,,,"Plymouth, Public (afterwards Proprietary) Library",,,,,,,,,,England,place_7002445,,
org_68,,,,,,,,,,,"South Malling (Sussex), collegiate church",,,,,,,,,,England,place_7002445,,
org_69,,,,,,,,https://www.wikidata.org/entity/Q33101787,,,"Chester, Benedictine abbey of St Werburgh",,,Benedictine,,,,,,,England,place_7002445,,
org_70,,,,,,,,,,,"London, church of St Botolph without Aldgate",,,,,,,,,,England,place_7002445,,
org_71,,,,,,,,,,,"Oxford, mayor and corporation",,,,,,,,,,England,place_7002445,,
org_72,,,,,,,,,Wikipedia,https://en.wikipedia.org/wiki/Nuncotham_Priory,"Nun Cotham (Lincolnshire), Cistercian nunnery",Nuncotham Priory,,Cistercian,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 272, 275",
org_73,,,,,,,,,Wikipedia,https://en.wikipedia.org/wiki/Newenham_Abbey,"Newenham (Devon), Cistercian abbey",,,Cistercian,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 113, 123",
org_74,,,,,,,,,,,"Southwark, hospital of St Thomas",,,,,,,,,,England,place_7002445,,
org_75,,,,,,,,,,,"Bradsole (Kent), Premonstratensian abbey of St Radegund",,,Premonstratensian,,,,,,,England,place_7002445,,
org_76,,,,,,,,,,,"Easton (Wiltshire), Trinitarian priory and hospital","Easton Royal, Wiltshire, hospital",,Trinitarian,,,,,,,England,place_7002445,,
org_77,,,,,,,,,,,"Canterbury, hospital of St Laurence",,,,,,,,,,England,place_7002445,,
org_78,,,,,,,,,,,"Canterbury, hospital of St Mary of the Poor Priests",,,,,,,,,,England,place_7002445,,
org_79,,,,,,,,,Wikipedia,"https://en.wikipedia.org/wiki/St_Mary%27s_College,_Oxford","Oxford, St Mary's College (afterwards Frewin Hall)",,,,,,,,,,England,place_7002445,,
org_80,,,,,,,,,,,"Oxford, St George's College (secular college of St George in the Castle)",,,,,,,,,,England,place_7002445,,
org_81,,http://klosterdatenbank.germania-sacra.de/gsn/50197,,,,,,,,,"Cologne, nunnery of St Agatha (Augustinian, later Benedictine)",,,Augustinian; Benedictine,,,,,,,,,,
org_82,,,,,,,,,,,"Ferrara, Franciscan friary",,,Franciscan,,,,,,,,,,
org_83,,,,,,,,,,,"Rimini, Franciscan friary",,,Franciscan,,,,,,,,,,
org_84,,,,,,,,https://www.wikidata.org/entity/Q5142089,,,"Colchester, Essex, Franciscan friary",Colchester Greyfriars,,Franciscan,,,,,,,England,place_7002445,,
org_85,,http://klosterdatenbank.germania-sacra.de/gsn/60102,,,,,,,,,"Freising, Franciscan friary",,,Franciscan,,,,,,,,,,
org_86,,,,,,,,,Wikipedia,https://en.wikipedia.org/wiki/St_Laurence_Pountney,"London, collegiate church of St Laurence Pountney","London, collegiate church of St Laurence Poultney",,,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 416, 431",
org_87,,,,,,,,https://www.wikidata.org/entity/Q7594570,,,"London, church of Mary Magdalen, Old Fish Street",,,,,,,,,,England,place_7002445,,
org_88,,,,,,,,,Wikipedia,https://en.wikipedia.org/wiki/St_Stephen_Coleman_Street,"London, church of St Stephen, Colman Street",,,,,,,,,,England,place_7002445,,
org_89,,,,,,,,,,,"..., Italy, church of St Peter (?)",,,,,,,,,,,,,
org_90,,,,,,,,,,,"..., Italy, church of Santa Maria dei Servi",,,,,,,,,,,,,
org_91,,,,,,,,,,,"Slapton (Devon), chantry",,,,,,,,,,England,place_7002445,,
org_92,,,,,,,,,,,"Norwich, bishop(s) of",,,,,,,,,,England,place_7002445,,
org_93,,,,,,,,,,,"East Drayton, fraternity of the Virgin Mary",,,,,,,,,,England,place_7002445,,
org_94,,,,,,,,https://www.wikidata.org/entity/Q1362788,,,"Pipewell, Cistercian abbey",,,Cistercian,,,,,,,England,place_7002445,,
org_95,,,,,,,,,,,"Penkridge (Staffordshire), collegiate church of St Michael alias St Mary",,,,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 417, 434.",
org_96,,,,,,,,,,,"Oxford, Dominican friary",,,Dominican,,,,,,,England,place_7002445,,
org_97,,,,,,,,,,,"Leicester, Newark College","Leicester, Newarke College",,,,,,,,,England,place_7002445,"Knowles & Hadcock, pp. 415, 429",
org_99,,,,,,,,,,,"Goldcliff, Benedictine priory",,,Benedictine,,,,,,,,,,
org_100,,,,,,,,,,,"Pontefract, collegiate church and almhouse of the Holy Trinity (Knolles Almshouse)",,,,,,,,,,England,place_7002445,,
org_101,,,,,,,,,,,"Richmond, honour of",,,,,,,,,,England,place_7002445,,
org_102,,,,,,,,,,,"Dover, hospital of St Bartholomew",,,,,,,,,,England,place_7002445,,
org_103,,,,,,,,,,,"York, hospital of St Peter, later St Leonard",,,,,,,,,,England,place_7002445,,
org_104,,,,,,,,https://www.wikidata.org/entity/Q5946678,,,"Hurley (Berkshire), Benedictine priory",,,Benedictine,,,,,,,England,place_7002445,,
org_105,,,,,,,,,,,"Valladolid, confraternity of St Peter Martyr",,,,,,,,,,,,,
org_106,,,,,,,,,,,"Pavia, College of Notaries",,,,,,,,,,,,,
org_107,,,,,,,,,Medieval monasteries in the Netherlands: a census,http://www2.fgw.vu.nl/oz/monasteries/kdetails.php?ID=N20,"Nijmegen, St Catherine's (Augustinian canons)",,,Augustinian,,,,,,,,,,
org_108,,,,,,,,,,,"Padua, church of San Giacomo di Pontecorvo",,,,,,,,,,,,"A. Rigon, 'Monasteri doppi e problemi di vita religiosa femminile a Padova nel Due e Trecento', pp. 227–8",
org_109,,,,,,,,,,,"Milan, Augustinian friary of Santa Maria Incoronata",,,Augustinian friary,,,,,,,,,,
org_110,,,,,,,,,TELMA: Traitement électronique des manuscrits et des archives,http://www.cn-telma.fr/cartulR/entite2621/,"Commenchon (Chauny), Augustinian abbey of Saint-Eloi-Fontaine",,,Augustinian,,,,,,,,,,
org_111,,,,,,,,,,,"Rome, guild of bakers and oven-keepers",,,,,,,,,,,,,
org_112,,,,,,,,,,,"London, cathedral church of St Paul, fraternity of Jesus in the Crowds",,,,,,,,,,England,place_7002445,,
org_113,,http://klosterdatenbank.germania-sacra.de/gsn/40136,,,,,,,Wikipedia,https://de.wikipedia.org/wiki/Schwarz-Kloster_Kreuznach,"Bad Kreuznach, Carmelite monastery of St Nicolas",Schwarz-Kloster Kreuznach; St. Nikolaus (Bad Kreuznach),,,,,,,,,,,,
org_114,,,,,,,,,,,"Vicenza, Augustinian monastery of San Bartholomeo",,,Augustinian,,,,,,,,,,
org_115,,,,,,,,,,,"Venice, nunnery of S. Croce in Giudecca",,,,,,,,,,,,,
org_116,,,,,,,,,,,"Avignon, college of Saint-Martial",,,,,,,,,,,,,
org_117,,,,,,,,,,,"Venice, Augustinian nunnery of Sant'Alvise (St Louis of Toulouse)",,,Augustinian,,,,,,,,,,
