identifiers: ID,identifiers: URI (BnF),identifiers: URI (GND),identifiers: URI (ISNI),identifiers: URI (LC),identifiers: URI (Mirabile),identifiers: URI (Oxford DNB),identifiers: URI (Pinakes),identifiers: URI (SUDOC),identifiers: URI (VIAF),identifiers: URI (Wikidata),identifiers: other ref(s),identifiers: other URI(s),names: display,names: preferred,names: variant,names: crossref,names: ms,birth: birth,birth: when,birth: not before,birth: not after,birth: certainty,birth: calendar,death: death,death: when,death: not before,death: not after,death: certainty,death: calendar,floruit: floruit,floruit: when,floruit: from,floruit: to,floruit: not before,floruit: not after,floruit: certainty,floruit: calendar,biography: occupation,biography: sex,biography: nationality,biography: lang knowledge,biography: residence,biography: affiliation,bibliography: bibl(s),bibliography: note(s)
person_1,,,,,,http://www.oxforddnb.com/view/article/92,,,,,,,"Adam the Carthusian, fl. ?",,,"Carthusian, Adam the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supposed (?) religious writer, possibly the same as Adam of Dryburgh (q.v.)"
person_2,,,,,,,,,,,,,"F.H. of 'Newchurch', fl. c. 1454",,,,,,,,,,,,,,,,,,1454,1454,1454,1454,1454,medium,,,,,,Newchurch,,,
person_3,,,,,,,,,,,,,"Bylby, Gilbert, prior of Rewley Abbey (fl. 1480)",,,,,,,,,,,,,,,,,,1480,1480,1480,1480,1480,medium,,,,,,,,,
person_5,,,,,,,,,,,,,"M.N., translator of Marguerite Porete, early (?) 15th cent.",,,,,,,,,,,,,,,,,,,,,1400,1500,low,,,,,,,,,
person_6,,,,,,,,,,,,,"G., Mr. (?), fl. c. 1479",,,Mr. G.,,,,,,,,,,,,,,,1479,1479,1479,1479,1479,medium,,,,,,,,,
person_7,,,,,,,,,,,,,"Nicolaus, scribe, active in Florence (?), c. 1415–25",,,,,,,,,,,,,,,,,,,,,1415,1425,medium,,,,,,Florence,,,
person_8,,,,,,,,,,,,,P.E.F.A. (?='Paulus Erizzo Antonii Filius' (fl. 1473–1503?),,,"Erizzo, Paulus, see P.E.F.A",,,,,,,,,,,,,,,,,,1473,1503,low,,,,,,,,,
person_9,,,,,,,,,,,,,"T.M., fl. 1590",,,"M., T.",,,,,,,,,,,,,,,1590,1590,1590,1590,1590,,,,,,,,,,
person_10,,,,,,,,,,,,,"W.B., 17th cent.",,,"B., W.",,,,,,,,,,,,,,,,,,1600,1700,,,,,,,,,,
person_11,,,,,,,,,,,,,"P.D., fl. c. 1450–75",,,"D., P.",,,,,,,,,,,,,,,,,,1450,1475,medium,,,,,,,,,
person_12,,,,,,,,,,,,,"... Dep ... etta, early 19th cent.",,,,,,,,,,,,,,,,,,,,,1800,1825,,,,,,,,,,
person_13,,,,,,,,,,,Wikipedia,"https://en.wikipedia.org/wiki/Thomas_Fairfax,_13th_Lord_Fairfax_of_Cameron","Fairfax, Thomas, 13th Lord Fairfax of Cameron (d. 1964)",,,,,,1923-05-14,1923-05-14,1923-05-14,,,,1964-04-08,1964-04-08,1964-04-08,,,,,,,,,,,,,,,,,,
person_14,,,,,,,,,,,Wikipedia,"https://en.wikipedia.org/wiki/Edward_Lloyd-Mostyn,_2nd_Baron_Mostyn","Lloyd-Mostyn, Edward, 2nd Baron Mostyn (d. 1884)",,,"Mostyn, see also Lloyd-Mostyn",,,1795-01-13,1795-01-13,1795-01-13,,,,1884-03-17,1884-03-17,1884-03-17,,,,,,,,,,,,,,,,,,
person_15,,,,,,,,,,,Peerage.com,http://thepeerage.com/p14658.htm#i146571,"Throckmorton, Sir Robert (d. 1791), 4th Baronet",,,,,,1702-08-21,1702-08-21,1702-08-21,,,,1791-12-08,1791-12-08,1791-12-08,,,,,,,,,,,,,,,"Coughton, Warwickshire ; Buckland House, Berkshire",,,
person_16,,,,,,,,,,,,,"Pudsey, Mary (d. c. 1810)",,,,,,,,,,,,1810,1810,1810,medium,,,,,,,,,,,,,,,,,
person_17,,,,,,,,,,,,,"Throckmorton, Sir Nicholas William George, 9th Baronet, –1919",,,,,,,,,,,,1919,1919,1919,,,,,,,,,,,,,,,,,,
person_18,,,,,,,,,,,,,"Hales, Stephen (fl. 1554), of Closworth, Somerset",,,,,,,,,,,,,,,,,,1554,1554,1554,1554,1554,medium,,,,,,"Closworth, Somerset",,,
person_19,,,,,,,,,,,,,"Hand, Francis, of Clare Hall in Halifax, late 16th cent.",,,,,,,,,,,,,,,,,,,,,1575,1600,medium,,,,,,"Clare Hall [in Halifax], Yorkshire",,,
person_20,,,,,,,,,,,,,"Bandis, Andreas (or Nicola) de, fl. c. 1450",,,,,,,,,,,,,,,,,,1450,1450,1450,1450,1450,medium,,,,,,,,,
person_21,,,,,,,,,,,,,"A. G., 18th cent. (?)",,,,,,,,,,,,,,,,,,,,,1700,1800,low,,,,,,,,,
person_24,,,,,,,,,,,,,"Soriano (Suriano), Antonio, patriarch of Venice 1504–08",,,,,,,,,,,,,,,,,,,,,1504,1508,,,,,,,,,,
person_25,,,,,,,,,,,,,"Orti (Ortis), Agostino, bishop of Satriano 1500–1521",,,,,,,,,,,,,,,,,,,,,1500,1521,,,,,,,,,,
person_26,,,,,,,,,,,,,"Poelgheest, Gherardus, abbot of Egmond, fl. c. 1465",,,Gherardus Poelgheest,,,,,,,,,,,,,,,1465,1465,1465,1465,1465,medium,,,,,,,,,
person_27,,,,,,,,,,,,,"Folquin, abbot of Metz, c. 1048–78",,,,,,,,,,,,,,,,,,,,,1048,1078,,,,,,,,,,
person_28,,,,,,,,,,,,,"Walton, Abel, of Stourbridge, Worcestershire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stourbridge, Worcestershire",,,
person_29,,,,,,,,,,,,,"Heknin, Adam (?), 17th cent.",,,,,,,,,,,,,,,,,,,,,1600,1700,,,,,,,,,,
person_30,,,,,,,,,,,,,"Mottrum (Mottram), Adam, precentor of Salisbury (sed. 1397–1415)",,Adam Mottrum precentor of Salisbury,,,,,,,,,,,,,,,,,,,1397,1415,,,,,,,,,,
person_32,,,,,,,,,,,,,"Wirrnberch, Agneska de, early 15th cent.",,,,,,,,,,,,,,,,,,,,,1400,1425,medium,,,,,,,,,
person_33,,,,,,,,,,,,,"Nicosiensis, Agostino, 18th cent.",,,,,,,,,,,,,,,,,,,,,1700,1800,,,,,,,,,,
person_34,,,,,,,,,,,,,"Spinelli, Agostino, 16th cent.",,,,,,,,,,,,,,,,,,,,,1500,1600,,,,,,,,,,
person_35,,,,,,,,,,,,,"Cipriano di Martino, Agostino di, of Venice, fl. c. 1568",,,,,,,,,,,,,,,,,,1568,1568,1568,1568,1568,,,,,,,Venice,,,
person_37,,,,,,,,,,,,,"Pontecello, Albertinus de, notary, fl. c. 1300",,,,,,,,,,,,,,,,,,,,,1300,1310,medium,,notary,,,,,,,
person_40,,,,,,,,,,,,,"Stabulo, Albertus de, 'de Alamania', fl. 1446",,,,,,,,,,,,,,,,,,1446,1446,1446,1446,1446,medium,,,,German,,,,,
person_41,,,,,,,,,,,,,"Alessandri, Alessandro, son of Alvise, 17th cent.",,,,,,,,,,,,,,,,,,,,,1600,1700,,,,,,,,,,
person_42,,,,,,,,,,,,,"Ziliol, Alessandro, fl. 1465",,,,,,,,,,,,,,,,,,1465,1465,1465,1465,1465,,,,,,,,,,
person_43,,,,,,,,,,,,,"Capel, Alex., 15th cent.",,,,,,,,,,,,,,,,,,,,,1400,1500,,,,,,,,,,
person_44,,,,,,,,,,,,,"Tyretha, Alexander son of Johannes, of Treviso, fl. c. 1467",,,,,,,,,,,,,,,,,,1467,1467,1467,1467,1467,,,,,,,Treviso,,,
person_45,,,,,,,,,,,,,"Alexander, 3rd cent. B.C.",,,,,,,,,,,,,,,,,,,,,-300,-200,,,,,,,,,,
person_46,,,,,,,,,,,,,"Terentius, Alexander, late 16th-early 17th cent.",,,,,,,,,,,,,,,,,,,,,1400,1500,low,,,,,,,,,"Perhaps identifiable with Alessandro Terenzio (d. 1624), canon of Padua from 1578."
person_47,,,,,,http://www.oxforddnb.com/view/article/37103,,,,,,,"Alexander of Stainsby (d. 1238), bishop of Coventry and Lichfield",,,"Stainsby, see Alexander of Stainsby",,,,,,,,,1238,1238,1238,,,,,,,,,,,,,,,,,"Sharpe, Latin Writers, no. 103",
person_50,,http://d-nb.info/gnd/128549173,,,,,,,http://viaf.org/viaf/72447139,,,,"Pfeiffer, Alfred, of Vienna, 1858–1913",,,,,,,,,,,,1913,1913,1913,,,,,,,,,,,,,,,,,,
person_51,,,,,,,,,,,,,"Malemeyns, Alice, fl. 1296",,,,,,,,,,,,,,,,,,1296,1296,1296,1296,1296,,,,,,,,,,
person_54,,,,,,,,,,,,,"Pudsey, Ambrose (1565–1623)",,,,,,1565,1565,1565,,,,1623,1623,1623,,,,,,,,,,,,,,,,,,
person_56,,,,,,,,,,,,,"Sansonus, Angelo, secretarius, fl. 1533",,,,,,,,,,,,,,,,,,1533,1533,1533,1533,1533,,,secretarius,,,,,,,"Cf. H. Boese, Die Lateinischen Handschriften der Sammlung Hamilton zu Berlin (Wiesbaden: Harrassowitz, 1966) no. 218"
person_59,,,,,,,,,,,,,"Laude, Andreas de, fl. c. 1463–4",,,,,,,,,,,,,,,,,,,,,1463,1464,medium,,,,,,,,,
person_60,,,,,,,,,,,,,"Gerardi, Andreoccius, of Siena, miles, fl. c. 1465",,,,,,,,,,,,,,,,,,1465,1465,1465,1465,1465,,,,,,,Siena,,,Tentatively identified with Andreozzo Perucci by Pächt and Alexander (ii.345)
person_61,,,,,,,,,,,,,"Johnson, Andrewe, 16th cent.",,,,,,,,,,,,,,,,,,,,,1500,1600,,,,,,,,,,
person_62,,,,,,,,,,,Wikipedia; Prosopography of the Byzantine World,https://en.wikipedia.org/wiki/Andronikos_Kontostephanos http://db.pbw.kcl.ac.uk/pbw2011/entity/person/151509,"Andronicus Contostephanus, c. 1132/3 - after 1183",,,,,,,1132,1133,low,,,,1183,,,,,,,,,,,,,,,,,,,
person_63,,,,,,,,,,,,,"Aquilano, Angelo, fl. c. 1460",,,,,,,,,,,,,,,,,,1460,1460,1460,1460,1460,,,,,,,,,,
person_64,,,,,,,,,,,,,"Vadius, Angelus, of Novigrad (?), fl. c. 1451",,,,,,,,,,,,,,,,,,1451,1451,1451,1451,1451,,,,,,,Novigrad,,,
person_65,,,,,,,,,,,,,"Barozzi, Angelo, patriarch of Grado 1211–38",,,,,,,,,,,,,,,,,,,,,1211,1238,,,,,,,,,,
person_66,,,,,,,,,,,Wikipedia,"https://en.wikipedia.org/wiki/Anne_of_York,_Duchess_of_Exeter","Plantagenet, Anne (Anne of York), duchess of Exeter, 1439–76",,,,,,1439,1439,1439,,,,1476,1476,1476,,,,,,,,,,,,,,,,,"G.E.C. V. 213, 215–6 note c.",
person_67,,,,,,,,,,,,,"Ant. V, fl. 1491",,,,,,,,,,,,,,,,,,1491,1491,1491,1491,1491,,,,,,,,,,
person_68,,,,,,,,,,,,,"Hanvbeel, Anthoine, of Ghent, 16th cent.",,,,,,,,,,,,,,,,,,,,,1500,1600,,,,,,,Ghent,,,
person_69,,,,,,,,,,,,,"Jacobus, Anthonius, magister, writer on logic (fl. before c. 1450?)",,,,,,,,,,,,,,,,,,,,,,1450,low,,,,,,,,,
person_70,,,,,,,,,,,,,"Combe, Anthonii de, fl. c. 1450",,,,,,,,,,,,,,,,,,1450,1450,1450,1450,1450,,,,,,,,,,
person_71,,,,,,,,,,,,,"Bercin, Anthonius, canon of Besançon, fl. 1523",,,,,,,,,,,,,,,,,,1523,1523,1523,1523,1523,,,,,,,Besançon,,,
person_72,,,,,,,,,,,,,"Anderson, Anthony, of 'Ebaswytch', Lincs., 16th cent.",,,,,,,,,,,,,,,,,,,,,1500,1600,,,,,,,"'Ebaswytch', Lincs.",,,
person_73,,,,,,,,,,,,,"Minowen, Anthony, 16th cent.",,,,,,,,,,,,,,,,,,,,,1500,1600,,,,,,,,,,
person_75,,,,,,,,,,,,,"Antonellus dictus Capadocia, fl. 1470",,,,,,,,,,,,,,,,,,1470,1470,1470,1470,1470,,,,,,,,,,
person_76,,,,,,,,,,,,,"Monrivello, Antonio, canon of Besançon, fl. 1523",,,,,,,,,,,,,,,,,,1523,1523,1523,1523,1523,,,,,,,Besançon,,,
person_77,,,,,,,,,,,,,"Priuli, Antonio, of Venice, fl. c. 1469",,,Antonio Priuli,,,,,,,,,,,,,,,1469,1469,1469,1469,1469,,,,,,,Venice,,,
person_79,,,,,,,,,,,,,"Manfredi, Antonio de, of Florence, fl. c. 1449",,,,,,,,,,,,,,,,,,1449,1449,1449,1449,1449,,,,,,,Florence,,,
person_80,,,,,,,,,,,DBI,http://www.treccani.it/enciclopedia/antonio-petrucci_(Dizionario-Biografico),"Petrucci, Antonio di Cecco Rosso, of Siena, 1400–71",,,,,,1400,1400,1400,,,,1471,1471,1471,,,,,,,,,,,,,,,Siena,,,
person_81,,,,,,,,,,,,,"Antonius, 15th–16th cent. (?)",,,,,,,,,,,,,,,,,,,,,1400,1600,,,,,,,,,,
person_82,,,,,,,,,,,,,"Tyretha, Antonius, of Treviso, fl. c. 1467",,,,,,,,,,,,,,,,,,1467,1467,1467,1467,1467,,,,,,,Treviso,,,
person_83,,,,,,,,,,,,,"Farina, Antonius, notary and citizen of Ferrara, fl. c. 1462",,,,,,,,,,,,,,,,,,1462,1462,1462,1462,1462,,,,,,,Ferrara,,,
person_85,,,,,,,,,,,,,"Levita, Antonius, of Padua, fl. 1447",,,,,,,,,,,,,,,,,,1447,1447,1447,1447,1447,,,,,,,Padua,,,
person_87,,,,,,,,,,,,,"Ursi, Antonius, lic. theol. Paris 1452",,,,,,,,,,,,,,,,,,1452,1452,1452,1452,1452,,,,,,,Paris,,,
person_88,,,,,,,,,,,,,"Praga, Antonius de, fl. 15th cent., 2nd quarter",,,,,,,,,,,,,,,,,,,,,1425,1450,,,,,,,,,,
person_89,,,,,,,,,,,,,"Apollonios, strategus, fl. 114",,,,,,,,,,,,,,,,,,114,114,114,114,114,,,,,,,,,,
person_90,,,,,,,,,,,,,"Apollonius, a governor, 3rd cent.",,,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,
person_92,,,,,,,,,,,,,"Elias, of Ibion, (?), archdeacon, 5th–6th cent.",,,,,,,,,,,,,,,,,,,,,400,600,,,,,,,Ibion,,,
person_94,,,,,,,,,,,,,"Oriens, Aringherius, fl. 15th cent., 3rd quarter",,,,,,,,,,,,,,,,,,,,,1450,1475,,,,,,,,,,
person_95,,,,,,,,,,,,,"Ariston, 3rd cent. BC",,,,,,,,,,,,,,,,,,,,,-300,-200,,,,,,,,,,
person_96,,,,,,,,,,,,,"Arnaldo Guillermo de Petra, student at Calatayud, 15th cent., 2nd half",,,,,,,,,,,,,,,,,,,,,1450,1500,medium,,,,,,Calatayud,,,
person_97,,,,,,,,,,,Bod-Inc,http://incunables.bodleian.ox.ac.uk/provenance/record/1680.5,"Hemminck, Arnoldus, 'grammaticus', of Dülmen, 16th cent.",,,,,,,,,,,,,,,,,,,,,1500,1600,,,grammaticus,,,,Dülmen,,,
person_98,,,,,,,,,,,,,"Diest, Arnoldus de, 'cognomento Kemmer', 14th cent, 2nd half",,,,,,,,,,,,,,,,,,,,,1350,1400,,,,,,,,,,
person_102,,,,,,,,,,,,,"Marinoni, Astolfino de, Italian humanist, late 14th-early 15th cent.",,,,,,,,,,,,,,,,,,,,,1375,1425,,,,,,,,,,
person_105,,,,,http://www.mirabileweb.it/author/augustinus-scanella-m-1450-author/36012,,,,,,,,Augustinus Scanella (d. 1450),,,,,,,,,,,,1450,1450,1450,,,,,,,,,,,,,,,,,CALMA I.535 (AUG 53),
person_106,,,,,,,,,,,,,"Aunchis, d. c. 126",,,,,,,,,,,,126,126,126,,,,,,,,,,,,,,,,,,
person_107,,,,,,,,,,,,,"Aurelia Ammonarion, fl. 247",,,,,,,,,,,,,,,,,,247,247,247,247,247,,,,,,,,,,
person_108,,,,,,,,,,,,,"Aurelios Heron, fl. 339",,,,,,,,,,,,,,,,,,339,339,339,339,339,,,,,,,,,,
person_109,,,,,,,,,,,,,"Aurelius Archelaus, beneficiarius, 2nd cent.",,,,,,,,,,,,,,,,,,,,,100,200,,,,,,,,,,
person_110,,,,,,,,,,,,,"Aurelius Isidoros alias (?) Herrennius, strategus of Antinoopolite, 3rd cent.",,,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,
