identifiers: ID,identifiers: URI (TGN),identifiers: other ref(s),identifiers: other URI(s),names: index,names: variant,location: type,location: geo,location: geo source,location: latitude,location: longitude,location: region,location: region ID,location: country,location: country ID,bibliography: bibl(s),bibliography: note(s)
place_1,,,,"Appelford [in Godshill], Isle of Wight",,settlement,,,,,,,,,,
place_2,,,,"Pan [in Whippingham], Isle of Wight",,settlement,,,,,,,,,,
place_3,,The Historical Gazetteer of England's Placenames,http://placenames.org.uk/id/placename/08/002018,"Hardisworthy [in Hartland], Devon",,settlement,,,,,,,,,,
place_4,,The Historical Gazetteer of England's Placenames,http://placenames.org.uk/id/placename/09/002719,"Butsford Barton [in Colebrooke], Devon",,settlement,,,,,,,,,,
place_5,,The Historical Gazetteer of England's Placenames,http://placenames.org.uk/id/placename/11/002914,"Weston Green [in Thames Ditton], Surrey",,settlement,"51.38528191314492,-0.339993118773828",http://placenames.org.uk/id/placename/11/002914,51.38528191314492,-0.339993118773828,,,,,,
place_6,,The Historical Gazetteer of England's Placenames,http://placenames.org.uk/id/placename/78/013606,"Bescaby [in Sproxton], Leicestershire",,settlement,"52.82937376956659,-0.775360354719512",http://placenames.org.uk/id/placename/78/013606,52.82937376956659,-0.775360354719512,,,,,,
place_7,,,,"Knaresborough (Yorkshire), forest",,settlement,,,,,,,,,,
place_8,,The Historical Gazetteer of England's Placenames,http://placenames.org.uk/id/placename/06/001213,"Kingsham [in Donnington], Sussex",,settlement,"50.81201,-0.78827 ",http://placenames.org.uk/id/placename/06/001213,50.81201,-0.78827,,,,,,
place_9,,,,"Oxford, Burnel's Inn alias London College",,settlement,,,,,,,,,,
place_10,,Trismegistos,http://www.trismegistos.org/place/876,"Ibion, Egypt",,settlement,,,,,,,,,,
place_11,,,,"'Runhagh', 'Rughagh' (unidentified), Suffolk (?)",,settlement,,,,,,,,,,Possibly to be identified with Rumburgh (?).
place_12,,The Historical Gazetteer of England's Placenames,http://placenames.org.uk/id/placename/05/000661,"Appleton-le-Street, Yorkshire","Appleton le Street, Yorkshire",settlement,"54.1521, -0.876097",http://placenames.org.uk/id/placename/05/000661,54.1521,-0.876097,,,,,,
place_13,,,,"Denbigh, honour of",,region,,,,,,,,,,
