metadata: binding UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: part ID,overview: binding,overview: condition,overview: decoration,date: contemporary,date: when,date: not before,date: not after,date: certainty,date: calendar,dimensions: height,dimensions: height max,dimensions: height min,dimensions: width,dimensions: width max,dimensions: width min,dimensions: depth,dimensions: depth max,dimensions: depth min,dimensions: unit,dimensions: converted
MS_Add_A_2_binding_1,manuscript_39,Add_A,MS_Add_A_2,MS. Add. A. 2,MS_Add_A_2,"Red leather on boards with blind tooling, brass bosses and fore-edge clasp fittings (15th century)",,,,,1400,1500,,,7.25 in,184.0,184.0,5 in,127.0,127.0,,,,mm,True
MS_Add_A_4_binding_1,manuscript_64,Add_A,MS_Add_A_4,MS. Add. A. 4,MS_Add_A_4,4.625; 3.5,,,,,,,,,4.625 in,117.0,117.0,3.5 in,89.0,89.0,,,,mm,True
MS_Add_A_5_binding_1,manuscript_68,Add_A,MS_Add_A_5,MS. Add. A. 5,MS_Add_A_5,6; 4.5,,,,,,,,,6 in,152.0,152.0,4.5 in,114.0,114.0,,,,mm,True
MS_Add_A_6_binding_1,manuscript_70,Add_A,MS_Add_A_6,MS. Add. A. 6,MS_Add_A_6,5.875; 4.5,,,,,,,,,5.875 in,149.0,149.0,4.5 in,114.0,114.0,,,,mm,True
MS_Add_A_7_binding_1,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,MS_Add_A_7,"Black leather on boards with blind tooling, clasp lost, Italian work (15th century). Resewn.",,,,,1400,1500,,,7.875 in,200.0,200.0,5.5 in,140.0,140.0,,,,mm,True
MS_Add_A_8_binding_1,manuscript_74,Add_A,MS_Add_A_8,MS. Add. A. 8,MS_Add_A_8,8.125; 5.875,,,,,,,,,8.125 in,206.0,206.0,5.875 in,149.0,149.0,,,,mm,True
MS_Add_A_9_binding_1,manuscript_75,Add_A,MS_Add_A_9,MS. Add. A. 9,MS_Add_A_9,6.875; 5.625,,,,,,,,,6.875 in,175.0,175.0,5.625 in,143.0,143.0,,,,mm,True
MS_Add_A_10_binding_1,manuscript_1,Add_A,MS_Add_A_10,MS. Add. A. 10,MS_Add_A_10,6.875; 5.75,,,,,,,,,6.875 in,175.0,175.0,5.75 in,146.0,146.0,,,,mm,True
MS_Add_A_11_binding_1,manuscript_9,Add_A,MS_Add_A_11,MS. Add. A. 11,MS_Add_A_11,"Green whittawed half-leather over boards (s. xv), with bosses, rebacked.",,,,,1400,1500,,,,,,,,,,,,,
MS_Add_A_12_binding_1,manuscript_13,Add_A,MS_Add_A_12,MS. Add. A. 12,MS_Add_A_12,9; 6.125,,,,,,,,,9 in,229.0,229.0,6.125 in,156.0,156.0,,,,mm,True
MS_Add_A_13_binding_1,manuscript_14,Add_A,MS_Add_A_13,MS. Add. A. 13,MS_Add_A_13,9; 6.125,,,,,,,,,9 in,229.0,229.0,6.125 in,156.0,156.0,,,,mm,True
MS_Add_A_15_binding_1,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,MS_Add_A_15,8.75; 5.625,,,,,,,,,8.75 in,222.0,222.0,5.625 in,143.0,143.0,,,,mm,True
MS_Add_A_17_binding_1,manuscript_24,Add_A,MS_Add_A_17,MS. Add. A. 17,MS_Add_A_17,8.5; 5.625,,,,,,,,,8.5 in,216.0,216.0,5.625 in,143.0,143.0,,,,mm,True
MS_Add_A_18_binding_1,manuscript_31,Add_A,MS_Add_A_18,MS. Add. A. 18,MS_Add_A_18,8.5; 6.125,,,,,,,,,8.5 in,216.0,216.0,6.125 in,156.0,156.0,,,,mm,True
