metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,extent: extent,extent: n folios,extent: n endleaves,extent: n later endleaves,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,rolls: converted,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,intercolumn: width,intercolumn: width max,intercolumn: width min,intercolumn: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
MS_Add_A_2_measure_1,manuscript_39,Add_A,MS_Add_A_2,MS. Add. A. 2,manuscript,,MS_Add_A_2,i + 56 leaves,56.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_4_measure_1,manuscript_64,Add_A,MS_Add_A_4,MS. Add. A. 4,manuscript,,MS_Add_A_4,2 + clvi leaves,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_5_measure_1,manuscript_68,Add_A,MS_Add_A_5,MS. Add. A. 5,manuscript,,MS_Add_A_5,ii + 200 leaves,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_6_measure_1,manuscript_70,Add_A,MS_Add_A_6,MS. Add. A. 6,manuscript,,MS_Add_A_6,ii + 58 leaves,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_7_measure_1,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,manuscript-composite,MS. Add. A. 7 – Part 1 MS. Add. A. 7 – Part 2 MS. Add. A. 7 – Part 3,MS_Add_A_7,ii + 162 leaves,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_8_measure_1,manuscript_74,Add_A,MS_Add_A_8,MS. Add. A. 8,manuscript,,MS_Add_A_8,ii + 112 leaves,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_9_measure_1,manuscript_75,Add_A,MS_Add_A_9,MS. Add. A. 9,manuscript,,MS_Add_A_9,iii + 56 leaves,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_10_measure_1,manuscript_1,Add_A,MS_Add_A_10,MS. Add. A. 10,manuscript-composite,MS. Add. A. 10 - part A (upper text) MS. Add. A. 10 - part A (lower text) MS. Add. A. 10 - part B MS. Add. A. 10 - part C,MS_Add_A_10,ii + 109 leaves,109.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_11_measure_1,manuscript_9,Add_A,MS_Add_A_11,MS. Add. A. 11,manuscript,,MS_Add_A_11,i+93 fols.,93.0,,1.0,,,,,,,,,,,,,,,,200.0,200.0,200.0,142.0,142.0,142.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,34.0,34.0,34.0,140.0,140.0,140.0,85–90,90.0,85.0,mm,,,,,,,,,,,,
MS_Add_A_12_measure_1,manuscript_13,Add_A,MS_Add_A_12,MS. Add. A. 12,manuscript,,MS_Add_A_12,ii + 105 leaves,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
