metadata: hand UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: hands,overview: total hands,person: scribe ref,person: hand ID,person: person(s),person: person ID(s),locus: scope,locus: n,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,palaeography: script,palaeography: execution,palaeography: medium,palaeography: terms,palaeography: desc,palaeography: char,palaeography: characters,palaeography: ligature,palaeography: abbreviations,palaeography: corrections,palaeography: punctuation,palaeography: nota,palaeography: language
MS_Add_A_2_hand_1,manuscript_39,Add_A,MS_Add_A_2,MS. Add. A. 2,manuscript,,MS_Add_A_2,Humanistic script (Pächt and Alexander ii. 820),,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_A_11_hand_1,manuscript_9,Add_A,MS_Add_A_11,MS. Add. A. 11,manuscript,,MS_Add_A_11,'Hoc opus scriptum fuit per me Benedictum de gramignis notarium. Anno domini currente Millesimo quadringintessimo quadragessimo tertio'.,,,,Benedictum de gramignis notarium,person_2741,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_12_hand_1,manuscript_13,Add_A,MS_Add_A_12,MS. Add. A. 12,manuscript,,MS_Add_A_12,In more than one hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_15_hand_1,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,Humanistic script related to that of Jacobus de Machariis of Venice (Pächt and Alexander ii. 555),,,,Jacobus de Machariis of Venice,person_572,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_A_26_hand_1,manuscript_46,Add_A,MS_Add_A_26,MS. Add. A. 26,manuscript,,MS_Add_A_26,"Hybrida (with several cursive forms), likely written in a single hand.",1.0,,,,,,,,,,,,,,,,hybrida,,,,,,,,,,,,
MS_Add_A_30_hand_1,manuscript_57,Add_A,MS_Add_A_30,MS. Add. A. 30,part,MS. Add. A. 30 – Part 1 (fols. 1–236),MS_Add_A_30-part1,"Additions in cursive scripts except fols. 110v-116v, in hybrida.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_44_hand_1,manuscript_66,Add_A,MS_Add_A_44,MS. Add. A. 44,manuscript,,MS_Add_A_44,Protogothic script by several hands.,,,,,,major,,,,,,,,,,,protogothic,,,,,,,,,,,,
MS_Add_A_44_hand_2,manuscript_66,Add_A,MS_Add_A_44,MS. Add. A. 44,manuscript,,MS_Add_A_44,15th-century additions in textualis,,,,,,minor,,,,,,,,,,,textualisNorthern,,,,,,,,,,,,
MS_Add_A_44_hand_3,manuscript_66,Add_A,MS_Add_A_44,MS. Add. A. 44,manuscript,,MS_Add_A_44,15th-century additions in (fol. 124r) secretary.,,,,,,minor,,,,,,,,,,,cursiva,,,,,,,,,,,,
MS_Add_A_61_hand_1,manuscript_71,Add_A,MS_Add_A_61,MS. Add. A. 61,manuscript,,MS_Add_A_61,"Written with varying degrees of informality and irregularity by several small and often cursive hands of the glossing type. The least formal hand has deeply-split ascenders and uses simple, crude letter-forms; the tall decorated ascenders on the first line of a page reflect documentary practice. The shaft of the Tironian nota is crossed in places; a has both the Caroline minuscule and two-compartment forms; the only ligature in use is de; round-backed d is standard; tall s is used in final position; g is crank-tailed. The Insular enim-compendium occurs. The ink is dark brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_92_hand_1,manuscript_76,Add_A,MS_Add_A_92,MS. Add. A. 92,manuscript,,MS_Add_A_92,"Cursive, by Martin Luther, in several shades of reddish brown and pink ink.",,,,Martin Luther,person_14773105,,,,,,,,,,,,cursiva,,,,,,,,,,,,
MS_Add_A_167_hand_1,manuscript_21,Add_A,MS_Add_A_167,MS. Add. A. 167,manuscript,,MS_Add_A_167,"Two hands: (a) fol. 1–182v (b) fols. 183–192. Probably Hans and Hans-Johann Pirckheimer. Hans studied in Padua for several years and was in Rome at the beginning of 1455. Cf. A. Reimann, Die älteren Pirckheimer (1944); N. Holzberg, Willibald Pirckheimer: griechischer Humanismus in Deutschland (1981).",,,,Hans; Hans-Johann Pirckheimer,person_69338373 person_45097499,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_174_hand_1,manuscript_29,Add_A,MS_Add_A_174,MS. Add. A. 174,manuscript,,MS_Add_A_174,Humanistic script (Pächt and Alexander ii. 508),,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_A_188_hand_1,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,manuscript-with-fragment,"MS. Add. A. 188 – lifted pastedowns (fols. i, 168)",MS_Add_A_188,"Proto-gothic bookhand, accented for reading aloud; the parts with music in smaller script.",,,,,,,,,,,,,,,,,protogothic,,,,,,,,,,,,
MS_Add_A_188_hand_2,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,fragment,"MS. Add. A. 188 – lifted pastedowns (fols. i, 168)",MS_Add_A_188-endleaves,Southern Gothic textualis (Bononiensis),,,,,,,,,,,,,,,,,textualisSouthern,,,,,,,,,,,,
MS_Add_A_189_hand_1,manuscript_35,Add_A,MS_Add_A_189,MS. Add. A. 189,manuscript,,MS_Add_A_189,Humanistica cursiva.,,,,,,,,,,,,,,,,,humanisticaCursiva,,,,,,,,,,,,
MS_Add_A_196_hand_1,manuscript_36,Add_A,MS_Add_A_196,MS. Add. A. 196,manuscript-composite,,MS_Add_A_196,Written by 'T.M.' in 1590 (Pächt and Alexander iii. 1205),,,,'T.M.',person_9,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_263_hand_1,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,part,MS. Add. A. 263 – Part A (fols. 1–48),MS_Add_A_263-part1,"Formal gothic bookhand; it is common that insufficient space has been left for the rubrics, which are absent after fol. 26r.",,,,,,,,,,,,,,,,,textualisNorthern,formata,,,,,,,,,,,
MS_Add_A_263_hand_2,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,part,MS. Add. A. 263 – Part B (fols. 49–64),MS_Add_A_263-part2,Formal gothic bookhand,,,,,,,,,,,,,,,,,textualisNorthern,formata,,,,,,,,,,,
MS_Add_A_263_hand_3,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,fragment,,MS_Add_A_263-endleaves-1,Cursiva antiquior,,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Add_A_263_hand_4,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,fragment,,MS_Add_A_263-endleaves-3,Cursive documentary script.,,,,,,,,,,,,,,,,,cursiva,,,,,,,,,,,,
MS_Add_A_263_hand_5,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,fragment,,MS_Add_A_263-endleaves-4,Formal Gothic bookhand,,,,,,,,,,,,,,,,,textualisNorthern,,,,,,,,,,,,
MS_Add_A_280_hand_1,manuscript_51,Add_A,MS_Add_A_280,MS. Add. A. 280,manuscript,,MS_Add_A_280,"Cursive, with many loopless forms, by one hand.",,,,,,,,,,,,,,,,,cursiva,,,,,,,,,,,,
MS_Add_A_283_hand_1,manuscript_53,Add_A,MS_Add_A_283,MS. Add. A. 283,manuscript,,MS_Add_A_283,Written by two different hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_286_hand_1,manuscript_54,Add_A,MS_Add_A_286,MS. Add. A. 286,manuscript,,MS_Add_A_286,Gothic bookhand.,,,,,,,,,,,,,,,,,textualisNorthern,,,,,,,,,,,,
MS_Add_A_371_hand_1,manuscript_62,Add_A,MS_Add_A_371,MS. Add. A. 371,manuscript,,MS_Add_A_371,Humanistic script (Pächt and Alexander ii. 699),,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_B_17_hand_1,manuscript_84,Add_B,MS_Add_B_17,MS. Add. B. 17,manuscript,,MS_Add_B_17,"Anglicana formata, one scribe.",1.0,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Add_B_54_hand_1,manuscript_86,Add_B,MS_Add_B_54,MS. Add. B. 54,manuscript,,MS_Add_B_54,Humanistic script.,,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_B_60_hand_1,manuscript_90,Add_B,MS_Add_B_60,MS. Add. B. 60,manuscript,,MS_Add_B_60,"Written in a single mixed hand, predominantly secretary.",1.0,,,,,,,,,,,,,,,,cursiva,,,,,,,,,,,,
MS_Add_B_60_hand_2,manuscript_90,Add_B,MS_Add_B_60,MS. Add. B. 60,manuscript,,MS_Add_B_60,"Additions in probably more than one contemporary hand (fols. 122r-124v; fols. 124v, 125v-126v) and in several 16th- and 17th-century hands (fols. iii recto - iv verso, 125v, 127v-129v)",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_B_110_hand_1,manuscript_80,Add_B,MS_Add_B_110,MS. Add. B. 110,manuscript,,MS_Add_B_110,Humanistic script. (Pächt and Alexander ii. 371),,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_B_111_hand_1,manuscript_81,Add_B,MS_Add_B_111,MS. Add. B. 111,manuscript,,MS_Add_B_111,Humanistic script. (Pächt and Alexander ii. 426).,,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
