metadata: music UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: music,locus: locus,locus: from,locus: to,dimensions: type,dimensions: height,dimensions: max height,dimensions: min height,dimensions: width,dimensions: max width,dimensions: min width,dimensions: unit,people: name(s),people: ID(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
MS_Add_A_109_music_1,manuscript_8,Add_A,MS_Add_A_109,MS. Add. A. 109,manuscript,,MS_Add_A_109,Neums (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Add_A_188_music_1,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,manuscript-with-fragment,"MS. Add. A. 188 – lifted pastedowns (fols. i, 168)",MS_Add_A_188,Adiastematic German neums.,,,,,,,,,,,,,,,,
MS_Add_A_286_music_1,manuscript_54,Add_A,MS_Add_A_286,MS. Add. A. 286,manuscript,,MS_Add_A_286,"Hufnagel notation on two five-line staves, added on fol. 86v.",,,,,,,,,,,,,,,,
MS_Add_A_373_music_1,manuscript_63,Add_A,MS_Add_A_373,MS. Add. A. 373,fragment,"MS. Add. A. 373, endleaf (fol. 100)",MS_Add_A_373-endleaf,Half-diastematic (Aquitanian?) point neums in one place only.,,,,,,,,,,,,,,,,
MS_Add_B_1_music_1,manuscript_77,Add_B,MS_Add_B_1,MS. Add. B. 1,manuscript,,MS_Add_B_1,Music (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Add_C_152_music_1,manuscript_117,Add_C,MS_Add_C_152,MS. Add. C. 152,manuscript,,MS_Add_C_152,Neums (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Add_D_47_music_1,manuscript_175,Add_D,MS_Add_D_47,MS. Add. D. 47,manuscript,,MS_Add_D_47,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Add_D_48_music_1,manuscript_176,Add_D,MS_Add_D_48,MS. Add. D. 48,manuscript,,MS_Add_D_48,Square notation on 6 staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Ashmole_1146_music_1,manuscript_216,Ashmole,MS_Ashmole_1146,MS. Ashmole 1146,manuscript,,MS_Ashmole_1146,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Ashmole_1282_music_1,manuscript_224,Ashmole,MS_Ashmole_1282,MS. Ashmole 1282,manuscript,,MS_Ashmole_1282,Draft musical notation on fol. 193v.,,,,,,,,,,,,,,,,
MS_Ashmole_1481_music_1,manuscript_279,Ashmole,MS_Ashmole_1481,MS. Ashmole 1481,manuscript-composite,MS. Ashmole 1481 – Part 1 MS. Ashmole 1481 – Part 2 MS. Ashmole 1481 – Part 3 MS. Ashmole 1481 – Part 4 MS. Ashmole 1481 – Part 5 MS. Ashmole 1481 – Part 6 MS. Ashmole 1481 – Part 7,MS_Ashmole_1481,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Ashmole_1523_music_1,manuscript_298,Ashmole,MS_Ashmole_1523,MS. Ashmole 1523,manuscript,,MS_Ashmole_1523,Square notation on staves of four red lines in the office of the Dead and the hymnal.,,,,,,,,,,,,,,,,
MS_Ashmole_1752star_music_1,manuscript_9792,Ashmole,MS_Ashmole_1752star,MS. Ashmole 1752*,manuscript,,MS_Ashmole_1752star,Square notation on staves of four lines.,,,,,,,,,,,,,,,,
MS_Auct_D_1_20_music_1,manuscript_413,Auct_D,MS_Auct_D_1_20,MS. Auct. D. 1. 20,manuscript,,MS_Auct_D_1_20,"Rhythmical notation of St Gall, added to the preface (fols. 36v, 37)",,,,,,,,,,,,,,,,
MS_Auct_D_2_6_music_1,manuscript_438,Auct_D,MS_Auct_D_2_6,MS. Auct. D. 2. 6,part,MS. Auct. D. 2. 6 – Part 1,MS_Auct_D_2_6-part1,‘O Sapientia’ (16 December) with neums.,,,,,,,,,,,,,,,,
MS_Auct_D_2_7_music_1,manuscript_439,Auct_D,MS_Auct_D_2_7,MS. Auct. D. 2. 7,fragment,MS. Auct. D. 2. 7 - endleaves (fols. ii-iv),MS_Auct_D_2_7-part5,8 long staves with square notation,,,,,,,,,,,,,,,,
