metadata: addition UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: additions,locus: locus,locus: from,locus: to,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: former owner name(s),people: former owner ID(s),people: other person name(s),people: other person ID(s),bibliography: bibl(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
MS_Add_A_2_addition_1,manuscript_39,Add_A,MS_Add_A_2,MS. Add. A. 2,manuscript,,MS_Add_A_2,"With notes in the margins in various hands, from differing dates, and some correction of the main text; e.g. fol. 7v and fol. 28r",,,,,,,,,,,,,,,,,
MS_Add_A_23_addition_1,manuscript_44,Add_A,MS_Add_A_23,MS. Add. A. 23,manuscript,,MS_Add_A_23,There are some rather later corrections of the accounts,,,,,,,,,,,,,,,,,
MS_Add_C_135_addition_1,manuscript_99,Add_C,MS_Add_C_135,MS. Add. C. 135,manuscript,,MS_Add_C_135,Additions by four or more annotators.,,,,,,,,,,,,,,,,,
MS_Add_D_80_addition_1,manuscript_177,Add_D,MS_Add_D_80,MS. Add. D. 80,manuscript,,MS_Add_D_80,"The first part has glosses in the margins, and some even indented in the text and clearly copied from an older manuscript",,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_24_addition_1,manuscript_8849,Arch_Selden,MS_Arch_Selden_B_24,MS. Arch. Selden. B. 24,manuscript,,MS_Arch_Selden_B_24,"The text of Troilus and Criseyde has been extensively annotated by multiple hands, and the margins contain some glosses in the main scribe’s hand. Some (see fol. 111v) are accommodated in the demi-vinet, suggesting they were present before decoration.",,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_24_addition_2,manuscript_8849,Arch_Selden,MS_Arch_Selden_B_24,MS. Arch. Selden. B. 24,manuscript,,MS_Arch_Selden_B_24,A note on fol. 120r by the first scribe dates and locates the manuscript: ‘Natius principis nostri Iacobi quarti anno doimini Mmo iiiic lxxiio xvii die mensis marcii videlicet in festo sancti patricii confessoris in monasterio sancta crucis prope Edinburgh’.,,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_24_addition_3,manuscript_8849,Arch_Selden,MS_Arch_Selden_B_24,MS. Arch. Selden. B. 24,manuscript,,MS_Arch_Selden_B_24,"Fols. 231v and 230v have been annotated with various names, and fol. 231v notably contains two lines of a Gaelic inscription.",,,,,,,,,,,,,,,,,
MS_Ashmole_34_addition_1,manuscript_322,Ashmole,MS_Ashmole_34,MS. Ashmole 34,manuscript,,MS_Ashmole_34,"Marginal annotations by several fifteenth to sixteenth century hands throughout in black ink. At least three hands can be identified. The first, neat and upright late fifteenth century hand, marks battles and topographical details. The second, a cursive late fifteenth to early sixteenth century hand, marks key historical events discussed in the text. This hand also adds a note on folio 33r which describes Westminster Hall, suggesting first-hand knowledge of London, and notes an error in the text on folio 40r: This in the romane histories is called maximus not maximianns. The third, a later hand of the eighteenth (?) century, marks the names of some of the kings mentioned in the text.",,,,,,,,,,,,,,,,,
MS_Ashmole_34_addition_2,manuscript_322,Ashmole,MS_Ashmole_34,MS. Ashmole 34,manuscript,,MS_Ashmole_34,"On folio 110r, the initials ROHA are written in the form of a square in the inner lower margin.",,,,,,,,,,,,,,,,,
MS_Ashmole_35_addition_1,manuscript_331,Ashmole,MS_Ashmole_35,MS. Ashmole 35,manuscript,,MS_Ashmole_35,"Fol. 183r, short accounts in red crayon, c. 1500",,,,,,,,,,,,,,,,,
