data quality: file,data quality: section,data quality: heading,data quality: count,data quality: percentage
00_overview,metadata,file URL,16016,100.00%
00_overview,metadata,collection,16016,100.00%
00_overview,metadata,ms ID,16016,100.00%
00_overview,metadata,shelfmark,16016,100.00%
00_overview,metadata,ms type,16016,100.00%
00_overview,metadata,part name,4039,25.22%
00_overview,metadata,part ID,16000,99.90%
00_overview,origin,not before,14137,88.27%
00_overview,origin,not after,14129,88.22%
00_overview,origin,country,10676,66.66%
00_overview,origin,region,928,5.79%
00_overview,origin,settlement,2363,14.75%
00_overview,origin,org,410,2.56%
00_overview,provenance,overview,7855,49.04%
00_overview,provenance,former owner name(s),6519,40.70%
00_overview,provenance,named place(s),147,0.92%
00_overview,acquisition,overview,6010,37.52%
00_overview,acquisition,not before,5542,34.60%
00_overview,acquisition,not after,5628,35.14%
00_overview,acquisition,former owner name(s),138,0.86%
00_overview,acquisition,donor name(s),591,3.69%
00_overview,secundo folio,transcription(s),1517,9.47%
00_overview,secundo folio,locus,382,2.39%
00_overview,secundo folio,note(s),80,0.50%
00_overview,contents,lang(s),3604,22.50%
00_overview,contents,lang code(s),15514,96.87%
00_overview,contents,n items and parts,14588,91.08%
00_overview,contents,title(s),13970,87.23%
00_overview,contents,standard title(s),13264,82.82%
00_overview,contents,subject(s),13224,82.57%
00_overview,contents,author(s) referenced,7555,47.17%
00_overview,music,notation,516,3.22%
00_overview,decoration,overview,6923,43.23%
00_overview,decoration,type(s),5846,36.50%
00_overview,codicology,form,14804,92.43%
00_overview,codicology,condition,493,3.08%
00_overview,codicology,support,14801,92.41%
00_overview,codicology,disposition,302,1.89%
00_overview,codicology,watermark,240,1.50%
00_overview,codicology,extent,4606,28.76%
00_overview,codicology,core folios,4556,28.45%
00_overview,codicology,endleaves,391,2.44%
00_overview,codicology,later endleaves,3002,18.74%
00_overview,codicology,collation,2121,13.24%
00_overview,codicology,main structure,491,3.07%
00_overview,codicology,structures,491,3.07%
00_overview,codicology,catchwords,657,4.10%
00_overview,codicology,signatures,509,3.18%
00_overview,codicology,foliation,1131,7.06%
00_overview,palaeography,hands,497,3.10%
00_overview,palaeography,script,1852,11.56%
00_overview,palaeography,main script,1851,11.56%
00_overview,palaeography,execution,193,1.21%
00_overview,palaeography,medium,3,0.02%
00_overview,binding,overview,3534,22.07%
00_overview,binding,contemporary,417,2.60%
00_overview,binding,not before,3056,19.08%
00_overview,binding,not after,3022,18.87%
00_overview,binding,certainty,8,0.05%
00_overview,binding,max height,1585,9.90%
00_overview,binding,min height,1585,9.90%
00_overview,binding,max width,1583,9.88%
00_overview,binding,min width,1583,9.88%
00_overview,binding,max depth,292,1.82%
00_overview,binding,min depth,292,1.82%
00_overview,binding,unit,1585,9.90%
00_overview,binding,converted,1585,9.90%
00_overview,leaves,max height,4407,27.52%
00_overview,leaves,min height,4407,27.52%
00_overview,leaves,max width,4411,27.54%
00_overview,leaves,min width,4411,27.54%
00_overview,leaves,unit,4426,27.63%
00_overview,text block,max cols,4448,27.77%
00_overview,text block,min cols,4448,27.77%
00_overview,text block,max height,3979,24.84%
00_overview,text block,min height,3983,24.87%
00_overview,text block,max width,3999,24.97%
00_overview,text block,min width,4003,24.99%
00_overview,text block,unit,4045,25.26%
00_overview,text block,max lines,4197,26.21%
00_overview,text block,min lines,4197,26.21%
00_overview,text block,medium,986,6.16%
00_overview,text block,top line,146,0.91%
01_records,metadata,record UID,11177,100.00%
01_records,metadata,file URL,11177,100.00%
01_records,metadata,collection,11177,100.00%
