data quality: file,data quality: section,data quality: heading,data quality: count,data quality: percentage
00_overview,metadata,file URL,15922,100.00%
00_overview,metadata,collection,15922,100.00%
00_overview,metadata,ms ID,15922,100.00%
00_overview,metadata,shelfmark,15922,100.00%
00_overview,metadata,ms type,15922,100.00%
00_overview,metadata,part name,3985,25.03%
00_overview,metadata,part ID,15921,99.99%
00_overview,origin,not before,14053,88.26%
00_overview,origin,not after,14045,88.21%
00_overview,origin,country,10607,66.62%
00_overview,origin,region,923,5.80%
00_overview,origin,settlement,2343,14.72%
00_overview,origin,org,392,2.46%
00_overview,provenance,overview,7707,48.40%
00_overview,provenance,former owner name(s),6419,40.32%
00_overview,provenance,named place(s),143,0.90%
00_overview,acquisition,overview,5905,37.09%
00_overview,acquisition,not before,5443,34.19%
00_overview,acquisition,not after,5529,34.73%
00_overview,acquisition,former owner name(s),133,0.84%
00_overview,acquisition,donor name(s),589,3.70%
00_overview,secundo folio,transcription(s),1473,9.25%
00_overview,secundo folio,locus,381,2.39%
00_overview,secundo folio,note(s),78,0.49%
00_overview,contents,lang(s),3535,22.20%
00_overview,contents,lang code(s),15423,96.87%
00_overview,contents,n items and parts,14501,91.08%
00_overview,contents,title(s),13887,87.22%
00_overview,contents,standard title(s),13195,82.87%
00_overview,contents,subject(s),13154,82.62%
00_overview,contents,author(s) referenced,7493,47.06%
00_overview,music,notation,509,3.20%
00_overview,decoration,overview,6857,43.07%
00_overview,decoration,type(s),5720,35.93%
00_overview,codicology,form,14710,92.39%
00_overview,codicology,condition,434,2.73%
00_overview,codicology,support,14710,92.39%
00_overview,codicology,disposition,302,1.90%
00_overview,codicology,watermark,237,1.49%
00_overview,codicology,extent,4527,28.43%
00_overview,codicology,core folios,4487,28.18%
00_overview,codicology,endleaves,389,2.44%
00_overview,codicology,later endleaves,3002,18.85%
00_overview,codicology,collation,2049,12.87%
00_overview,codicology,main structure,450,2.83%
00_overview,codicology,structures,450,2.83%
00_overview,codicology,catchwords,635,3.99%
00_overview,codicology,signatures,496,3.12%
00_overview,codicology,foliation,1105,6.94%
00_overview,palaeography,hands,478,3.00%
00_overview,palaeography,script,1779,11.17%
00_overview,palaeography,main script,1778,11.17%
00_overview,palaeography,execution,186,1.17%
00_overview,palaeography,medium,3,0.02%
00_overview,binding,overview,3491,21.93%
00_overview,binding,contemporary,416,2.61%
00_overview,binding,not before,3017,18.95%
00_overview,binding,not after,2985,18.75%
00_overview,binding,certainty,8,0.05%
00_overview,binding,max height,1553,9.75%
00_overview,binding,min height,1553,9.75%
00_overview,binding,max width,1551,9.74%
00_overview,binding,min width,1551,9.74%
00_overview,binding,max depth,291,1.83%
00_overview,binding,min depth,291,1.83%
00_overview,binding,unit,1553,9.75%
00_overview,binding,converted,1553,9.75%
00_overview,leaves,max height,4286,26.92%
00_overview,leaves,min height,4286,26.92%
00_overview,leaves,max width,4290,26.94%
00_overview,leaves,min width,4290,26.94%
00_overview,leaves,unit,4305,27.04%
00_overview,text block,max cols,4339,27.25%
00_overview,text block,min cols,4339,27.25%
00_overview,text block,max height,3882,24.38%
00_overview,text block,min height,3886,24.41%
00_overview,text block,max width,3904,24.52%
00_overview,text block,min width,3908,24.54%
00_overview,text block,unit,3946,24.78%
00_overview,text block,max lines,4102,25.76%
00_overview,text block,min lines,4102,25.76%
00_overview,text block,medium,936,5.88%
00_overview,text block,top line,129,0.81%
01_records,metadata,record UID,11166,100.00%
01_records,metadata,file URL,11166,100.00%
01_records,metadata,collection,11166,100.00%
01_records,metadata,ms ID,11166,100.00%
01_records,metadata,shelfmark,11166,100.00%
01_records,metadata,ms type,11166,100.00%
01_records,metadata,part name,1143,10.24%
01_records,metadata,part ID,11165,99.99%
01_records,metadata,crArk,11165,99.99%
01_records,metadata,ieArk,11166,100.00%
01_records,metadata,SCN,9038,80.94%
01_records,metadata,TM,713,6.39%
01_records,metadata,PR,507,4.54%
01_records,metadata,diktyon,120,1.07%
01_records,record,history,11115,99.54%
01_records,record,source,9139,81.85%
01_records,record,most recent change,11155,99.90%
01_records,record,quarto cat,11166,100.00%
01_records,record,summary,11166,100.00%
01_records,record,updated,7745,69.36%
01_records,publisher,institution,11165,99.99%
01_records,publisher,unit,11165,99.99%
01_records,publisher,department,11165,99.99%
01_records,location,settlement,11166,100.00%
01_records,location,institution,9512,85.19%
01_records,location,repository,11166,100.00%
01_records,availability,availability statement,1731,15.50%
01_records,surrogates,full digital facsimile(s),11166,100.00%
01_records,surrogates,full digital facsimile URI(s),1732,15.51%
01_records,surrogates,full iiif manifest,1639,14.68%
01_records,surrogates,partial digital facsimile(s),11166,100.00%
01_records,surrogates,partial digital facsimile URI(s),1919,17.19%
01_records,surrogates,partial iiif manifest,1911,17.11%
01_records,printed resources,bibliography,2697,24.15%
01_records,printed resources,URI(s),355,3.18%
01_records,printed resources,ID(s),5,0.04%
01_records,online resources,JONAS URI,369,3.30%
01_records,online resources,bibliography,3365,30.14%
01_records,online resources,URI(s),3363,30.12%
02_binding,metadata,binding UID,4427,100.00%
02_binding,metadata,file URL,4427,100.00%
02_binding,metadata,collection,4427,100.00%
02_binding,metadata,ms ID,4427,100.00%
02_binding,metadata,shelfmark,4427,100.00%
02_binding,metadata,part ID,4427,100.00%
02_binding,overview,binding,4418,99.80%
02_binding,overview,condition,13,0.29%
02_binding,overview,decoration,25,0.56%
02_binding,date,contemporary,416,9.40%
02_binding,date,when,168,3.79%
02_binding,date,not before,3094,69.89%
02_binding,date,not after,3068,69.30%
02_binding,date,certainty,8,0.18%
02_binding,date,calendar,585,13.21%
02_binding,dimensions,height,1602,36.19%
02_binding,dimensions,height max,1602,36.19%
02_binding,dimensions,height min,1602,36.19%
02_binding,dimensions,width,1600,36.14%
02_binding,dimensions,width max,1600,36.14%
02_binding,dimensions,width min,1600,36.14%
02_binding,dimensions,depth,340,7.68%
02_binding,dimensions,depth max,340,7.68%
02_binding,dimensions,depth min,340,7.68%
02_binding,dimensions,unit,1602,36.19%
02_binding,dimensions,converted,1602,36.19%
03_measurements,metadata,measurement UID,7226,100.00%
03_measurements,metadata,file URL,7226,100.00%
03_measurements,metadata,collection,7226,100.00%
03_measurements,metadata,ms ID,7226,100.00%
03_measurements,metadata,shelfmark,7226,100.00%
03_measurements,metadata,ms type,7226,100.00%
03_measurements,metadata,part name,2004,27.73%
03_measurements,metadata,part ID,7225,99.99%
03_measurements,extent,extent,4916,68.03%
03_measurements,extent,n folios,4870,67.40%
03_measurements,extent,n endleaves,419,5.80%
03_measurements,extent,n later endleaves,3292,45.56%
03_measurements,rolls,height,32,0.44%
03_measurements,rolls,height max,32,0.44%
03_measurements,rolls,height min,32,0.44%
03_measurements,rolls,width,32,0.44%
03_measurements,rolls,width max,32,0.44%
03_measurements,rolls,width min,32,0.44%
03_measurements,rolls,unit,32,0.44%
03_measurements,rolls,converted,32,0.44%
03_measurements,fragments,height,22,0.30%
03_measurements,fragments,height max,88,1.22%
03_measurements,fragments,height min,88,1.22%
03_measurements,fragments,width,88,1.22%
03_measurements,fragments,width max,88,1.22%
03_measurements,fragments,width min,88,1.22%
03_measurements,fragments,unit,88,1.22%
03_measurements,leaves,height,4027,55.73%
03_measurements,leaves,height max,4027,55.73%
03_measurements,leaves,height min,4027,55.73%
03_measurements,leaves,width,4032,55.80%
03_measurements,leaves,width max,4032,55.80%
03_measurements,leaves,width min,4032,55.80%
03_measurements,leaves,depth,7,0.10%
03_measurements,leaves,depth max,7,0.10%
03_measurements,leaves,depth min,7,0.10%
03_measurements,leaves,unit,4047,56.01%
03_measurements,columns,n,4497,62.23%
03_measurements,columns,n max,4497,62.23%
03_measurements,columns,n min,4497,62.23%
03_measurements,columns,height,464,6.42%
03_measurements,columns,height max,464,6.42%
03_measurements,columns,height min,464,6.42%
03_measurements,columns,width,501,6.93%
03_measurements,columns,width max,501,6.93%
03_measurements,columns,width min,501,6.93%
03_measurements,columns,unit,501,6.93%
03_measurements,intercolumn,width,162,2.24%
03_measurements,intercolumn,width max,162,2.24%
03_measurements,intercolumn,width min,162,2.24%
03_measurements,intercolumn,unit,162,2.24%
03_measurements,written area,n,3891,53.85%
03_measurements,written area,n max,3891,53.85%
03_measurements,written area,n min,3891,53.85%
03_measurements,written area,height,2560,35.43%
03_measurements,written area,height max,2560,35.43%
03_measurements,written area,height min,2560,35.43%
03_measurements,written area,width,2603,36.02%
03_measurements,written area,width max,2603,36.02%
03_measurements,written area,width min,2603,36.02%
03_measurements,written area,unit,2616,36.20%
03_measurements,ruling,n,551,7.63%
03_measurements,ruling,n max,551,7.63%
03_measurements,ruling,n min,551,7.63%
03_measurements,ruling,height,1057,14.63%
03_measurements,ruling,height max,1057,14.63%
03_measurements,ruling,height min,1057,14.63%
03_measurements,ruling,width,1061,14.68%
03_measurements,ruling,width max,1061,14.68%
03_measurements,ruling,width min,1061,14.68%
03_measurements,ruling,unit,1067,14.77%
03_measurements,ruling,medium,916,12.68%
03_measurements,ruling,top line,134,1.85%
04_hands,metadata,hand UID,3997,100.00%
04_hands,metadata,file URL,3997,100.00%
04_hands,metadata,collection,3997,100.00%
04_hands,metadata,ms ID,3997,100.00%
04_hands,metadata,shelfmark,3997,100.00%
04_hands,metadata,ms type,3997,100.00%
04_hands,metadata,part name,868,21.72%
04_hands,metadata,part ID,3996,99.97%
04_hands,overview,hands,3996,99.97%
04_hands,overview,total hands,531,13.28%
04_hands,person,scribe ref,10,0.25%
04_hands,person,hand ID,55,1.38%
04_hands,person,person(s),511,12.78%
04_hands,person,person ID(s),508,12.71%
04_hands,locus,scope,348,8.71%
04_hands,locus,n,112,2.80%
04_hands,locus,locus,112,2.80%
04_hands,locus,from,111,2.78%
04_hands,locus,to,111,2.78%
04_hands,date,date,203,5.08%
04_hands,date,when,1,0.03%
04_hands,date,not before,203,5.08%
04_hands,date,not after,202,5.05%
04_hands,date,certainty,0,0.00%
04_hands,date,calendar,201,5.03%
04_hands,palaeography,script,2010,50.29%
04_hands,palaeography,execution,193,4.83%
04_hands,palaeography,medium,8,0.20%
04_hands,palaeography,terms,390,9.76%
04_hands,palaeography,desc,8,0.20%
04_hands,palaeography,char,7,0.18%
04_hands,palaeography,characters,34,0.85%
04_hands,palaeography,ligature,4,0.10%
04_hands,palaeography,abbreviations,5,0.13%
04_hands,palaeography,corrections,2,0.05%
04_hands,palaeography,punctuation,4,0.10%
04_hands,palaeography,nota,1,0.03%
04_hands,palaeography,language,1,0.03%
05_contents,metadata,item UID,54179,100.00%
05_contents,metadata,item ID,28095,51.86%
05_contents,metadata,item n,33406,61.66%
05_contents,metadata,file URL,54179,100.00%
05_contents,metadata,ms ID,54179,100.00%
05_contents,metadata,shelfmark,54179,100.00%
05_contents,metadata,collection,54179,100.00%
05_contents,metadata,ms type,54179,100.00%
05_contents,metadata,part name,12884,23.78%
05_contents,metadata,part ID,54178,100.00%
05_contents,metadata,nest level,54179,100.00%
05_contents,locus,locus,32945,60.81%
05_contents,locus,from,32437,59.87%
05_contents,locus,to,31039,57.29%
05_contents,locus,inferred,31012,57.24%
05_contents,length,est fols,30869,56.98%
05_contents,length,est cols,21252,39.23%
05_contents,length,est lines,17714,32.70%
05_contents,length,est % of ms,28496,52.60%
05_contents,length,est % of part,22680,41.86%
05_contents,work,title,35311,65.17%
05_contents,work,title type,12673,23.39%
05_contents,work,work ID,27944,51.58%
05_contents,work,standard title(s),27944,51.58%
05_contents,work,class(es),6501,12.00%
05_contents,work,associated subject(s),27812,51.33%
05_contents,work,subject URI(s),27812,51.33%
05_contents,work,theology,27944,51.58%
05_contents,work,documents,27944,51.58%
05_contents,work,bible,27944,51.58%
05_contents,work,literature,27944,51.58%
05_contents,work,science,27944,51.58%
05_contents,work,liturgy,27944,51.58%
05_contents,work,history,27944,51.58%
05_contents,work,law,27944,51.58%
05_contents,work,philosophy,27944,51.58%
05_contents,work,hagiography,27944,51.58%
05_contents,work,medicine,27944,51.58%
05_contents,work,christian literature,27944,51.58%
05_contents,work,sermons,27944,51.58%
05_contents,work,classical literature,27944,51.58%
05_contents,work,monasticism and religious orders,27944,51.58%
05_contents,work,grammar,27944,51.58%
05_contents,work,clergy,27944,51.58%
05_contents,work,rhetoric,27944,51.58%
05_contents,work,geography,27944,51.58%
05_contents,work,natural history,27944,51.58%
05_contents,work,politics and government,27944,51.58%
05_contents,work,music,27944,51.58%
05_contents,work,indexes,27944,51.58%
05_contents,work,conduct,27944,51.58%
05_contents,work,heraldry,27944,51.58%
05_contents,work,magic,27944,51.58%
05_contents,work,bibliography,27944,51.58%
05_contents,work,recreation,27944,51.58%
05_contents,author,name(s),16818,31.04%
05_contents,author,standard name(s),16582,30.61%
05_contents,author,ID(s),16912,31.22%
05_contents,language,text lang(s),20230,37.34%
05_contents,language,main,48456,89.44%
05_contents,language,other,1199,2.21%
05_contents,paratext,incipit,18109,33.42%
05_contents,paratext,explicit,10151,18.74%
05_contents,paratext,rubric(s),11147,20.57%
05_contents,paratext,rubric note(s),525,0.97%
05_contents,paratext,final rubric(s),2425,4.48%
05_contents,paratext,final rubric note(s),103,0.19%
05_contents,bibliography,note(s),30656,56.58%
05_contents,bibliography,bibl,7369,13.60%
05_contents,bibliography,repertory/ies,1887,3.48%
05_contents,bibliography,edition(s),99,0.18%
05_contents,bibliography,commented on,740,1.37%
05_contents,bibliography,related,123,0.23%
05_contents,bibliography,commentary/ies,29,0.05%
05_contents,bibliography,bible,314,0.58%
05_contents,bibliography,ms(s),198,0.37%
05_contents,bibliography,IMEV,20,0.04%
05_contents,bibliography,IMEV URI(s),20,0.04%
05_contents,bibliography,WIC,150,0.28%
05_contents,bibliography,WIC URI(s),150,0.28%
06_music,metadata,music UID,524,100.00%
06_music,metadata,file URL,524,100.00%
06_music,metadata,collection,524,100.00%
06_music,metadata,ms ID,524,100.00%
06_music,metadata,shelfmark,524,100.00%
06_music,metadata,ms type,524,100.00%
06_music,metadata,part name,200,38.17%
06_music,metadata,part ID,524,100.00%
06_music,overview,music,524,100.00%
06_music,locus,locus,9,1.72%
06_music,locus,from,9,1.72%
06_music,locus,to,9,1.72%
06_music,dimensions,type,10,1.91%
06_music,dimensions,height,10,1.91%
06_music,dimensions,max height,10,1.91%
06_music,dimensions,min height,10,1.91%
06_music,dimensions,width,10,1.91%
06_music,dimensions,max width,10,1.91%
06_music,dimensions,min width,10,1.91%
06_music,dimensions,unit,10,1.91%
06_music,people,name(s),1,0.19%
06_music,people,ID(s),1,0.19%
06_music,bibliography,title(s),4,0.76%
06_music,bibliography,ref(s),5,0.95%
06_music,bibliography,ref URI(s),5,0.95%
07_decoration,metadata,deco UID,15722,100.00%
07_decoration,metadata,file URL,15722,100.00%
07_decoration,metadata,collection,15722,100.00%
07_decoration,metadata,ms ID,15722,100.00%
07_decoration,metadata,shelfmark,15722,100.00%
07_decoration,metadata,ms type,15722,100.00%
07_decoration,metadata,part name,2577,16.39%
07_decoration,metadata,part ID,15721,99.99%
07_decoration,overview,decoration,5553,35.32%
07_decoration,overview,description,15622,99.36%
07_decoration,overview,type,14210,90.38%
07_decoration,locus,locus,1327,8.44%
07_decoration,locus,from,869,5.53%
07_decoration,locus,to,869,5.53%
07_decoration,date,date,46,0.29%
07_decoration,date,when,2,0.01%
07_decoration,date,not before,46,0.29%
07_decoration,date,not after,46,0.29%
07_decoration,date,certainty,3,0.02%
07_decoration,date,calendar,46,0.29%
07_decoration,people,scribe name(s),71,0.45%
07_decoration,people,scribe ID(s),71,0.45%
07_decoration,people,signer name(s),1,0.01%
07_decoration,people,signer ID(s),1,0.01%
07_decoration,people,artist name(s),145,0.92%
07_decoration,people,artist ID(s),143,0.91%
07_decoration,people,patron name(s),12,0.08%
07_decoration,people,patron ID(s),12,0.08%
07_decoration,people,dedicatee name(s),2,0.01%
07_decoration,people,dedicatee ID(s),2,0.01%
07_decoration,people,former owner name(s),11,0.07%
07_decoration,people,former owner ID(s),11,0.07%
07_decoration,people,donor name(s),4,0.03%
07_decoration,people,donor ID(s),4,0.03%
07_decoration,people,other name(s),25,0.16%
07_decoration,people,other ID(s),25,0.16%
07_decoration,orgs,name(s),11,0.07%
07_decoration,orgs,ID(s),11,0.07%
07_decoration,places,name(s),29,0.18%
07_decoration,places,ID(s),29,0.18%
07_decoration,bibliography,bibl(s),186,1.18%
07_decoration,bibliography,ref(s),1609,10.23%
07_decoration,bibliography,ref URI(s),1608,10.23%
08_origins,metadata,origin UID,15922,100.00%
08_origins,metadata,file URL,15922,100.00%
08_origins,metadata,collection,15922,100.00%
08_origins,metadata,ms ID,15922,100.00%
08_origins,metadata,shelfmark,15922,100.00%
08_origins,metadata,ms type,15922,100.00%
08_origins,metadata,part name,3985,25.03%
08_origins,metadata,part ID,15921,99.99%
08_origins,overview,origin,14410,90.50%
08_origins,overview,additions,118,0.74%
08_origins,locus,locus,5,0.03%
08_origins,locus,from,5,0.03%
08_origins,locus,to,5,0.03%
08_origins,orig date,date,14370,90.25%
08_origins,orig date,when,1380,8.67%
08_origins,orig date,not before,14262,89.57%
08_origins,orig date,not after,14254,89.52%
08_origins,orig date,certainty,1069,6.71%
08_origins,orig date,calendar,14288,89.74%
08_origins,orig place,place,10905,68.49%
08_origins,orig place,country,10796,67.81%
08_origins,orig place,country ID,10796,67.81%
08_origins,orig place,country lat,9363,58.81%
08_origins,orig place,country long,9363,58.81%
08_origins,orig place,region,926,5.82%
08_origins,orig place,region ID,100,0.63%
08_origins,orig place,region lat,96,0.60%
08_origins,orig place,region long,96,0.60%
08_origins,orig place,settlement,2382,14.96%
08_origins,orig place,settlement ID,2281,14.33%
08_origins,orig place,settlement lat,2255,14.16%
08_origins,orig place,settlement long,2255,14.16%
08_origins,orig org,org,431,2.71%
08_origins,orig org,org ID,430,2.70%
08_origins,orig org,org lat,95,0.60%
08_origins,orig org,org long,95,0.60%
08_origins,add date,date,117,0.73%
08_origins,add date,when,4,0.03%
08_origins,add date,not before,117,0.73%
08_origins,add date,not after,117,0.73%
08_origins,add date,certainty,8,0.05%
08_origins,add date,calendar,117,0.73%
08_origins,add place,place,13,0.08%
08_origins,add place,country,11,0.07%
08_origins,add place,country ID,11,0.07%
08_origins,add place,country lat,11,0.07%
08_origins,add place,country long,11,0.07%
08_origins,add place,region,2,0.01%
08_origins,add place,region ID,1,0.01%
08_origins,add place,region lat,0,0.00%
08_origins,add place,region long,0,0.00%
08_origins,add place,settlement,0,0.00%
08_origins,add place,settlement ID,0,0.00%
08_origins,add place,settlement lat,0,0.00%
08_origins,add place,settlement long,0,0.00%
08_origins,add org,org,0,0.00%
08_origins,add org,org ID,0,0.00%
08_origins,add org,org lat,0,0.00%
08_origins,add org,org long,0,0.00%
08_origins,bibliography,bibl(s),1,0.01%
08_origins,bibliography,ref(s),22,0.14%
08_origins,bibliography,ref ID(s),22,0.14%
08_origins,bibliography,note(s),49,0.31%
09_additions,metadata,addition UID,513,100.00%
09_additions,metadata,file URL,513,100.00%
09_additions,metadata,collection,513,100.00%
09_additions,metadata,ms ID,513,100.00%
09_additions,metadata,shelfmark,513,100.00%
09_additions,metadata,ms type,513,100.00%
09_additions,metadata,part name,59,11.50%
09_additions,metadata,part ID,513,100.00%
09_additions,overview,additions,505,98.44%
09_additions,locus,locus,17,3.31%
09_additions,locus,from,17,3.31%
09_additions,locus,to,17,3.31%
09_additions,people,author name(s),7,1.36%
09_additions,people,author ID(s),7,1.36%
09_additions,people,scribe name(s),2,0.39%
09_additions,people,scribe ID(s),2,0.39%
09_additions,people,signer name(s),2,0.39%
09_additions,people,signer ID(s),2,0.39%
